Tutorial Group,Assigned Team,Student ID,Name,School,Gender,CGPA
G-100,Team 9,2698,Owen Hill,CCDS,Male,4.03
G-100,Team 10,4274,Tommy Wu,EEE,Male,4.03
G-100,Team 10,3137,Raquel Huang,LKCMedicine,Female,4.18
G-100,Team 10,111,Ying Liu,SPMS,Female,4.03
G-100,Team 10,5800,Yumi Nishikawa,CoB (NBS),Female,4.14
G-101,Team 1,4928,Weijun,SPMS,Male,3.85
G-101,Team 1,2753,Zadie Harris,MAE,Female,4.52
G-101,Team 1,410,Jin Yang Tan,CoB (NBS),Male,3.95
G-101,Team 1,5809,Hannah Smith,CoE,Female,4.11
G-101,Team 1,3088,Eli Cruz,MSE,Male,4.11
G-101,Team 2,3546,Ying Wong,SoH,Female,3.88
G-101,Team 2,35,Riley Lim,SoH,Male,4.48
G-101,Team 2,696,Wyatt Price,NIE,Male,3.95
G-101,Team 2,5291,Rachel Choi,CoB (NBS),Female,4.12
G-101,Team 2,4346,Manish Singh,SBS,Male,4.1
G-101,Team 3,715,Zoe King,ASE,Female,3.88
G-101,Team 3,4173,Evelyn Cheung,SBS,Female,4.48
G-101,Team 3,1353,Kieran Harris,MAE,Male,3.91
G-101,Team 3,437,Xiao Ming,CoE,Male,4.17
G-101,Team 3,5633,Ning Li,CCEB,Female,4.09
G-101,Team 4,615,Gia Tsai,SPMS,Female,3.89
G-101,Team 4,23,Daphne Tan,CCEB,Female,4.26
G-101,Team 4,4393,Kevin Brown,EEE,Male,4.18
G-101,Team 4,621,Christopher Cox,CCDS,Male,4.12
G-101,Team 4,4045,Sofia Reddy,MAE,Female,4.09
G-101,Team 5,3382,Madiha Ali,CoB (NBS),Female,3.9
G-101,Team 5,1235,Nguyen Thi Binh,CCDS,Female,4.21
G-101,Team 5,2425,Asher Nelson,SPMS,Male,4.21
G-101,Team 5,4896,Jaxon Lewis,EEE,Male,4.12
G-101,Team 5,1293,Jasper Wang,CCEB,Male,4.08
G-101,Team 6,1839,Kexin,LKCMedicine,Female,4.0
G-101,Team 6,757,Savannah Torres,CCEB,Female,4.2
G-101,Team 6,5468,Lucas Chen,CCDS,Male,4.12
G-101,Team 6,2349,Sandeep Rao,EEE,Male,4.14
G-101,Team 6,5461,Suraj Mishra,CoB (NBS),Male,4.08
G-101,Team 7,456,Wani Binti Jalil,MAE,Female,4.0
G-101,Team 7,1346,Lola Tan,SSS,Female,4.2
G-101,Team 7,2986,Rishi Tan,CCDS,Male,4.08
G-101,Team 7,3886,Ajay Iyer,ADM,Male,4.2
G-101,Team 7,2828,Nguyen Hoang Long,NIE,Male,4.05
G-101,Team 8,2852,Shayla Wang,NIE,Female,4.01
G-101,Team 8,4167,Farhan Bin Azhar,SPMS,Male,4.2
G-101,Team 8,5210,Amaya Sharma,CoE,Female,4.15
G-101,Team 8,849,Ethan Taylor,SSS,Male,4.15
G-101,Team 8,746,Alani Lin,MAE,Female,4.03
G-101,Team 9,1545,Carter Thompson,SPMS,Male,4.03
G-101,Team 9,5015,Fatima Bhatia,ASE,Female,4.19
G-101,Team 9,5191,Khayla Rahayu,CCEB,Female,4.15
G-101,Team 9,3593,Minghao,MAE,Male,4.15
G-101,Team 9,762,Kate Tan,CoE,Female,4.03
G-101,Team 10,4526,Hope Chen,CCDS,Female,4.04
G-101,Team 10,2337,Sophia Jones,CoB (NBS),Female,4.18
G-101,Team 10,5987,Owen Nugroho,MAE,Male,4.15
G-101,Team 10,665,Qi Chen,SPMS,Male,4.04
G-101,Team 10,5741,Isla Young,SBS,Female,4.17
G-102,Team 1,4862,Melati Ahmad,CCDS,Female,3.88
G-102,Team 1,5690,Maharani Sari,CCEB,Female,4.3
G-102,Team 1,2403,Henry Tan,MAE,Male,4.12
G-102,Team 1,5888,Bradley Yang,CEE,Male,4.09
G-102,Team 1,613,Nina Phillips,SBS,Female,4.11
G-102,Team 2,3168,Sakshi Iyer,MAE,Female,3.94
G-102,Team 2,2376,Hao Yang Tan,MSE,Male,4.3
G-102,Team 2,818,Hansel Bautista,SSS,Male,4.06
G-102,Team 2,3592,Alina Awan,EEE,Female,4.1
G-102,Team 2,3909,Zara Lim,CCEB,Female,4.1
G-102,Team 3,5928,Anjali Kumar,SSS,Female,3.95
G-102,Team 3,1634,Sofia Hernandez,CCDS,Female,4.26
G-102,Team 3,2013,Wyatt Thompson,NIE,Male,4.09
G-102,Team 3,2246,Luca Torres,SoH,Male,4.12
G-102,Team 3,3957,Megan Walker,CEE,Female,4.06
G-102,Team 4,3717,Nafisa Ali,EEE,Female,3.95
G-102,Team 4,2373,Elisha Wu,NIE,Male,4.23
G-102,Team 4,3413,Kiran Shah,SSS,Female,4.12
G-102,Team 4,2315,Cheng Fang Tan,SPMS,Male,4.05
G-102,Team 4,2079,Gina Lau,CoB (NBS),Female,4.15
G-102,Team 5,1688,Pranata Santoso,MSE,Male,3.95
G-102,Team 5,783,Ajay Bhatt,CCDS,Male,4.22
G-102,Team 5,2595,Fariha Noor,CoE,Female,4.14
G-102,Team 5,2720,Nira Gupta,WKW SCI,Female,4.12
G-102,Team 5,5023,Svetlana Chernyshova,LKCMedicine,Female,4.06
G-102,Team 6,1768,Travis Lim,SoH,Male,4.0
G-102,Team 6,4379,Zoe Martinez,MAE,Female,4.21
G-102,Team 6,3692,Harsh Kumar,EEE,Male,4.05
G-102,Team 6,828,Sakshi Singh,SSS,Female,4.14
G-102,Team 6,5447,Lan Nguyen,CCDS,Female,4.15
G-102,Team 7,4386,Riku Takeda,WKW SCI,Male,4.01
G-102,Team 7,1362,Yong Hui,MAE,Male,4.21
G-102,Team 7,39,Lyric Tan,EEE,Female,4.04
G-102,Team 7,3043,Maya Sari,CoE,Female,4.15
G-102,Team 7,3820,Felix Wong,SSS,Male,4.14
G-102,Team 8,3439,Asher Clark,SBS,Male,4.03
G-102,Team 8,714,Nisha Gupta,CoB (NBS),Female,4.21
G-102,Team 8,103,Maximus Wright,CoE,Male,4.05
G-102,Team 8,902,Layla Cooper,MSE,Female,4.03
G-102,Team 8,5144,Aria Murphy,CCEB,Female,4.2
G-102,Team 9,2192,Liu Fang,SPMS,Female,4.03
G-102,Team 9,5913,Ulysses Salazar,MAE,Male,4.2
G-102,Team 9,2221,Levi Huang,EEE,Male,4.04
G-102,Team 9,337,Kanwal Bukhari,CoB (NBS),Female,4.16
G-102,Team 9,448,Margarita Sokolova,SSS,Female,4.03
G-102,Team 10,5578,Minh Tran,CCDS,Male,4.03
G-102,Team 10,4404,Omar Farooq,MAE,Male,4.2
G-102,Team 10,5147,Min-Ji Park,SoH,Female,4.03
G-102,Team 10,2560,Simran Singh,SBS,Female,4.03
G-102,Team 10,956,Raj Tan,SBS,Male,4.17
G-103,Team 1,2302,Yvonne Ng,CEE,Female,3.8
G-103,Team 1,3554,Asha Mehta,CCDS,Female,4.52
G-103,Team 1,4678,Irfan Bin Hassan,SPMS,Male,4.0
G-103,Team 1,2679,Khalil Bin Ismail,SSS,Male,4.09
G-103,Team 1,5493,Amna Bukhari,CCEB,Female,4.11
G-103,Team 2,952,Nadia Binti Zulkifli,MSE,Female,3.87
G-103,Team 2,5483,Camila Li,MAE,Female,4.27
G-103,Team 2,2165,David Young,CoE,Male,4.19
G-103,Team 2,1618,Dallas Huang,CEE,Male,4.09
G-103,Team 2,4224,Ethan White,SoH,Male,4.11
G-103,Team 3,4616,Eli Tan,ASE,Male,3.88
G-103,Team 3,5040,Dev Sharma,ASE,Male,4.26
G-103,Team 3,4559,Sofia Kim,EEE,Female,4.17
G-103,Team 3,4842,Carmen Ong,SoH,Female,4.09
G-103,Team 3,1911,Mansoor Qureshi,CEE,Male,4.12
G-103,Team 4,1551,Maggie Kwan,CCEB,Female,3.91
G-103,Team 4,2602,Fatima Baig,CCDS,Female,4.25
G-103,Team 4,2559,Everett Harris,CEE,Male,4.14
G-103,Team 4,1847,Talha Iqbal,CoE,Male,4.11
G-103,Team 4,3932,Vy Nguyen,WKW SCI,Male,4.11
G-103,Team 5,778,Selina Loh,CoB (NBS),Female,3.91
G-103,Team 5,397,Chong Wang,CoB (NBS),Male,4.25
G-103,Team 5,1495,Amira Tan,CCDS,Female,4.15
G-103,Team 5,344,Tyler Hall,CEE,Male,4.11
G-103,Team 5,835,Maya Wilson,SoH,Female,4.13
G-103,Team 6,1787,Xiao Wei Tan,CEE,Male,3.95
G-103,Team 6,2601,Tommy Wu,SSS,Male,4.22
G-103,Team 6,4612,Kylie Chen,MAE,Female,4.15
G-103,Team 6,3251,Emily Scott,EEE,Female,4.07
G-103,Team 6,3497,Hikaru Sato,NIE,Male,4.14
G-103,Team 7,1613,Graham Jackson,SBS,Male,3.97
G-103,Team 7,1202,Maya Gonzales,SSS,Female,4.22
G-103,Team 7,4809,Vikram Singh,EEE,Male,4.13
G-103,Team 7,1292,Queenie Lee,SoH,Female,4.06
G-103,Team 7,2189,Zachary Lee,CoB (NBS),Male,4.11
G-103,Team 8,18,Alan Chan,CEE,Male,4.0
G-103,Team 8,1879,Naim Bin Hashim,MSE,Male,4.2
G-103,Team 8,4837,Yuna Wong,SBS,Female,4.07
G-103,Team 8,5627,Anjali Singh,SSS,Female,4.16
G-103,Team 8,40,Shiloh Lin,LKCMedicine,Female,4.05
G-103,Team 9,5970,Layla Fisher,SBS,Female,4.01
G-103,Team 9,4964,Hannah Sanders,CCDS,Female,4.2
G-103,Team 9,925,Saad Malik,MSE,Male,4.05
G-103,Team 9,1553,Isaac Thompson,EEE,Male,4.03
G-103,Team 9,4821,Samantha Khan,CoB (NBS),Female,4.19
G-103,Team 10,4181,Simon Lee,CoB (NBS),Male,4.02
G-103,Team 10,4427,Willow Wong,EEE,Female,4.19
G-103,Team 10,2099,Fahim Hussein,CCDS,Male,4.03
G-103,Team 10,4051,Fatima Malik,MAE,Female,4.18
G-103,Team 10,4132,Aria Martinez,EEE,Female,4.18
G-104,Team 1,2233,Chloe Scott,SBS,Female,3.85
G-104,Team 1,3335,William Yip,EEE,Male,4.22
G-104,Team 1,1395,Anil Reddy,SoH,Male,4.14
G-104,Team 1,4039,Anita Lim,CCDS,Female,4.06
G-104,Team 1,1950,Lila Wu,MAE,Female,4.06
G-104,Team 2,3080,Tara Wati,NIE,Female,3.85
G-104,Team 2,5905,Emi Yamashita,CCDS,Female,4.22
G-104,Team 2,1891,Ryder Ward,MAE,Male,4.15
G-104,Team 2,3268,Gideon Torres,CoB (NBS),Male,4.04
G-104,Team 2,2898,Nancy Yeo,SSS,Female,4.08
G-104,Team 3,5962,Madison Scott,CoB (NBS),Female,3.92
G-104,Team 3,3873,Leo Pranata,CoB (NBS),Male,4.2
G-104,Team 3,1375,Pallavi Mehta,CEE,Female,4.09
G-104,Team 3,759,Daniel Adams,CCDS,Male,4.05
G-104,Team 3,832,Sarah Liu,SPMS,Female,4.09
G-104,Team 4,5263,Lily Ong,CoB (NBS),Female,3.93
G-104,Team 4,2962,Jun Zhang,CoE,Male,4.19
G-104,Team 4,1649,Vera Ong,MAE,Female,4.09
G-104,Team 4,90,Chandra Menon,ASE,Male,4.03
G-104,Team 4,2273,Samantha Ong,SSS,Female,4.1
G-104,Team 5,1542,John Lim,WKW SCI,Male,3.95
G-104,Team 5,4403,Ying Zhang,EEE,Female,4.18
G-104,Team 5,4001,Ashna Mehta,SoH,Female,4.06
G-104,Team 5,5317,Zhen Zhang,CoB (NBS),Male,4.06
G-104,Team 5,4988,Rafael Wong,CCDS,Male,4.11
G-104,Team 6,3050,Nia Wong,CCEB,Female,3.95
G-104,Team 6,3937,Nisha Yadav,SSS,Female,4.18
G-104,Team 6,4664,Lance Alvarado,CoE,Male,4.04
G-104,Team 6,4349,Benjamin Huang,WKW SCI,Male,4.11
G-104,Team 6,1446,Dahlia Chen,NIE,Female,4.04
G-104,Team 7,2932,Gracelyn Dela Cruz,SSS,Female,3.96
G-104,Team 7,2653,Chloe Tan,CCDS,Female,4.17
G-104,Team 7,238,Prashant Joshi,CCEB,Male,4.03
G-104,Team 7,33,Waleed Malik,ASE,Male,4.15
G-104,Team 7,2556,Chloe Wu,MAE,Female,4.03
G-104,Team 8,2204,Anaya Singh,EEE,Female,4.0
G-104,Team 8,5596,Jason Tan,CCDS,Male,4.16
G-104,Team 8,5684,Emily Johnson,SoH,Female,4.03
G-104,Team 8,5570,Gideon Zhang,SPMS,Male,4.01
G-104,Team 8,82,Giselle Wu,SSS,Female,4.14
G-104,Team 9,4894,Fitri Binti Mohd,CCDS,Female,4.0
G-104,Team 9,3595,Eamon Liu,NIE,Male,4.16
G-104,Team 9,4187,Isha Verma,SBS,Female,4.03
G-104,Team 9,5540,Kamran Farooq,EEE,Male,4.01
G-104,Team 9,5685,Maya Rahman,CCEB,Female,4.06
G-104,Team 10,5020,Xena Reed,NIE,Female,4.11
G-104,Team 10,3665,Shahid Ali,CCDS,Male,4.11
G-104,Team 10,1600,Sophia Taylor,WKW SCI,Female,4.06
G-104,Team 10,2622,Priya Roy,EEE,Female,4.11
G-105,Team 1,3345,Vira Dwi,CCEB,Female,3.8
G-105,Team 1,5003,Imran Bin Zahid,CCDS,Male,4.3
G-105,Team 1,1550,Chen Bo,CEE,Male,4.17
G-105,Team 1,3108,Pallavi Kumar,SSS,Female,4.1
G-105,Team 1,28,Claudia Tan,CoB (NBS),Female,4.09
G-105,Team 2,1803,Isabella Rodriguez,EEE,Female,3.86
G-105,Team 2,2728,Daphne Li,EEE,Female,4.26
G-105,Team 2,1927,Dao Tran,MSE,Male,4.15
G-105,Team 2,5950,James Jackson,CEE,Male,4.09
G-105,Team 2,4744,Alyssa Tan,CCDS,Female,4.1
G-105,Team 3,5029,Olivia Miller,WKW SCI,Female,3.87
G-105,Team 3,5770,Qiana Lestari,NIE,Female,4.25
G-105,Team 3,1490,Amit Agarwal,EEE,Male,4.15
G-105,Team 3,1007,Jonathan Wu,CoB (NBS),Male,4.09
G-105,Team 3,4589,Sabrina Zhao,CCEB,Female,4.11
G-105,Team 4,463,Arjun Nair,MAE,Male,3.92
G-105,Team 4,4188,Sophie Reed,SSS,Female,4.23
G-105,Team 4,4431,Chen Li,SBS,Female,4.12
G-105,Team 4,800,Ricky Chen,CoE,Male,4.09
G-105,Team 4,4758,Ping An,CoB (NBS),Female,4.1
G-105,Team 5,333,Maya Torres,CCDS,Female,3.92
G-105,Team 5,3728,Lola Zhang,MAE,Female,4.22
G-105,Team 5,5355,Nicolas Ramos,CoB (NBS),Male,4.14
G-105,Team 5,2010,Trung Le,CEE,Male,4.06
G-105,Team 5,2913,Kunal Mehta,SoH,Male,4.12
G-105,Team 6,1529,Devansh Mehta,CCDS,Male,4.0
G-105,Team 6,4364,Charlotte Gonzalez,MAE,Female,4.22
G-105,Team 6,1789,Dallas Liu,NIE,Male,4.05
G-105,Team 6,2161,Tessa Li,EEE,Female,4.14
G-105,Team 6,1974,Ronald Tan,CEE,Male,4.05
G-105,Team 7,5909,Aditi Kumar,SSS,Female,4.01
G-105,Team 7,2392,Max Johnson,SoH,Male,4.21
G-105,Team 7,3415,Tatum Roberts,CCDS,Female,4.06
G-105,Team 7,1043,Logan Martin,MAE,Male,4.12
G-105,Team 7,4510,Kylie Zhang,SBS,Female,4.04
G-105,Team 8,401,Haruki Suzuki,CoB (NBS),Male,4.01
G-105,Team 8,5339,Callum Williams,SoH,Male,4.19
G-105,Team 8,5218,Julia Tan,MAE,Female,4.04
G-105,Team 8,1564,Amina Binti Zain,EEE,Female,4.15
G-105,Team 8,5565,Yumi Tanaka,ASE,Female,4.03
G-105,Team 9,500,Vincent Wong,CoB (NBS),Male,4.01
G-105,Team 9,5377,Yang Jun,CCDS,Male,4.17
G-105,Team 9,951,Nisha Bansal,SSS,Female,4.15
G-105,Team 9,2732,Addison Lin,SSS,Female,4.02
G-105,Team 9,4869,Kiran Rao,SPMS,Male,4.15
G-105,Team 10,1141,Mei Chen,SSS,Female,4.02
G-105,Team 10,3668,Saad Javed,ADM,Male,4.15
G-105,Team 10,5816,Bennett Liu,CCDS,Male,4.14
G-105,Team 10,3970,Cora Zhang,CoB (NBS),Female,4.15
G-105,Team 10,5797,Shahid Raza,MAE,Male,4.02
G-106,Team 1,3583,Aria Lee,CCEB,Female,3.88
G-106,Team 1,930,Jason Robinson,CoE,Male,4.52
G-106,Team 1,850,Sienna Lee,CCDS,Female,3.88
G-106,Team 1,2370,Zedrick Ong,MAE,Male,4.05
G-106,Team 1,1580,Nikhil Sharma,WKW SCI,Male,4.11
G-106,Team 2,330,Dylan Li,EEE,Male,3.9
G-106,Team 2,1929,Kavitha Tan,EEE,Female,4.3
G-106,Team 2,4387,Kathy Tan,CCEB,Female,4.05
G-106,Team 2,2713,Kevin Wang,MAE,Male,4.09
G-106,Team 2,5670,Miyu Nishimura,SoH,Female,4.06
G-106,Team 3,5885,Jun Liu,EEE,Female,3.9
G-106,Team 3,2588,Mira Binti Zaki,SoH,Female,4.2
G-106,Team 3,3054,Om Tan,CCEB,Male,4.15
G-106,Team 3,4783,Rahul Mehta,MAE,Male,4.08
G-106,Team 3,4317,Oliver Martinez,CoB (NBS),Male,4.12
G-106,Team 4,4753,Zara Malik,EEE,Female,3.9
G-106,Team 4,2144,Oscar Villanueva,CoE,Male,4.19
G-106,Team 4,1294,Nolan Reyes,MAE,Male,4.16
G-106,Team 4,1002,Priya Nair,CCEB,Female,4.12
G-106,Team 4,3654,Aria Tan,CCDS,Female,4.04
G-106,Team 5,3471,Gandhi Saputra,CCEB,Male,3.95
G-106,Team 5,4438,Noel Pineda,EEE,Male,4.19
G-106,Team 5,1168,Eun-Hee Kim,NIE,Female,4.14
G-106,Team 5,5657,Charlotte Harris,SPMS,Female,4.02
G-106,Team 5,2112,Noah Morris,SoH,Male,4.11
G-106,Team 6,5088,Neelam Rani,CCEB,Female,3.95
G-106,Team 6,3551,Harrison Moore,EEE,Male,4.19
G-106,Team 6,2147,Hafiz Ahmad,WKW SCI,Male,4.14
G-106,Team 6,1415,Cleo Morales,NIE,Female,4.02
G-106,Team 6,4201,Reyansh Iyer,SPMS,Male,4.14
G-106,Team 7,3008,Thomas Harris,CCDS,Male,3.95
G-106,Team 7,113,Fahad Ali,MAE,Male,4.19
G-106,Team 7,5676,Akemi Takahashi,EEE,Female,4.12
G-106,Team 7,5898,Quinn Larson,CCEB,Female,4.12
G-106,Team 7,2385,Hoang Nguyen,ADM,Male,4.02
G-106,Team 8,4934,Arya Kapoor,CCEB,Female,3.97
G-106,Team 8,3686,Cole Huang,EEE,Male,4.19
G-106,Team 8,1730,Siddharth Gupta,CoB (NBS),Male,4.14
G-106,Team 8,1785,Gabriella Dela Cruz,MAE,Female,4.01
G-106,Team 8,1888,Guofeng,CoE,Female,4.15
